,receptor,missing_frame
227,adora2a,at-frame179800
228,adora2a,at-frame180400
229,adora2a,at-frame182000
230,adora2a,at-frame182200
231,adora2a,at-frame183000
232,adora2a,at-frame183400
233,adora2a,at-frame183800
234,adora2a,at-frame184000
235,adora2a,at-frame185000
236,adora2a,at-frame186000
237,adora2a,at-frame187000
238,adora2a,at-frame187200
239,adora2a,at-frame187800
240,adora2a,at-frame190400
241,adora2a,at-frame191000
242,adora2a,at-frame191400
243,adora2a,at-frame192000
244,adora2a,at-frame192200
245,adora2a,at-frame193800
246,adora2a,at-frame195000
247,adora2a,at-frame196000
248,adora2a,at-frame197200
249,adora2a,at-frame197600
250,adora2a,at-frame197800
251,adora2a,at-frame198200
252,adora2a,at-frame200000
253,adora2a,at-frame201000
254,adora2a,at-frame201200
255,adora2a,at-frame201800
256,adora2a,at-frame202400
257,adora2a,at-frame203200
258,adora2a,at-frame204400
259,adora2a,at-frame204600
260,adora2a,at-frame208200
261,adora2a,at-frame208400
262,adora2a,at-frame208600
263,adora2a,at-frame209200
264,adora2a,at-frame209400
265,adora2a,at-frame210400
266,adora2a,at-frame212000
267,adora2a,at-frame213200
268,adora2a,at-frame213600
269,adora2a,at-frame213800
270,adora2a,at-frame215200
271,adora2a,at-frame215800
272,adora2a,at-frame217200
273,adora2a,at-frame218200
274,adora2a,at-frame221000
275,adora2a,at-frame221800
276,adora2a,at-frame222000
277,adora2a,at-frame223600
278,adora2a,at-frame225000
279,adora2a,at-frame227400
280,adora2a,at-frame231200
281,adora2a,at-frame232600
282,adora2a,at-frame232800
283,adora2a,at-frame233000
284,adora2a,at-frame233200
285,adora2a,at-frame235000
286,adora2a,at-frame235200
287,adora2a,at-frame236000
288,adora2a,at-frame238200
289,adora2a,at-frame238400
290,adora2a,at-frame238600
291,adora2a,at-frame239000
292,adora2a,at-frame239400
293,adora2a,at-frame239600
294,adora2a,at-frame240200
295,adora2a,at-frame241400
296,adora2a,at-frame241600
297,adora2a,at-frame245800
298,adora2a,at-frame246600
299,adora2a,at-frame248800
300,adora2a,at-frame249200
301,adora2a,at-frame249800
302,adora2a,at-frame250000
303,adora2a,at-frame250200
304,adora2a,at-frame250800
305,adora2a,at-frame251000
306,adora2a,at-frame252800
307,adora2a,at-frame254200
308,adora2a,at-frame254400
309,adora2a,at-frame255400
310,adora2a,at-frame255800
311,adora2a,at-frame258000
312,adora2a,at-frame258800
313,adora2a,at-frame259600
314,adora2a,at-frame260000
315,adora2a,at-frame262000
316,adora2a,at-frame262200
317,adora2a,at-frame262400
318,adora2a,at-frame263200
319,adora2a,at-frame264200
320,adora2a,at-frame265200
321,adora2a,at-frame266200
322,adora2a,at-frame268800
323,adora2a,at-frame272200
324,adora2a,at-frame273200
325,adora2a,at-frame273800
326,adora2a,at-frame274000
327,adora2a,at-frame275000
328,adora2a,at-frame276200
329,adora2a,at-frame276400
330,adora2a,at-frame276600
331,adora2a,at-frame278800
332,adora2a,at-frame280400
333,adora2a,at-frame281400
334,adora2a,at-frame283600
335,adora2a,at-frame284400
336,adora2a,at-frame286200
337,adora2a,at-frame286600
338,adora2a,at-frame286800
339,adora2a,at-frame287400
340,adora2a,at-frame292600
341,adora2a,at-frame293400
342,adora2a,at-frame294000
343,adora2a,at-frame294400
344,adora2a,at-frame295200
345,adora2a,at-frame295400
346,adora2a,at-frame296000
347,adora2a,at-frame297400
348,adora2a,at-frame297800
349,adora2a,at-frame299000
350,adora2a,at-frame300000
351,adora2a,at-frame300400
352,adora2a,at-frame300800
353,adora2a,at-frame301400
354,adora2a,at-frame301800
355,adora2a,at-frame302200
356,adora2a,at-frame303400
357,adora2a,at-frame304000
358,adora2a,at-frame305600
359,adora2a,at-frame306000
360,adora2a,at-frame306200
361,adora2a,at-frame306600
362,adora2a,at-frame307200
363,adora2a,at-frame307600
364,adora2a,at-frame308000
365,adora2a,at-frame309400
366,adora2a,at-frame311600
367,adora2a,at-frame311800
368,adora2a,at-frame312800
369,adora2a,at-frame313600
370,adora2a,at-frame314000
371,adora2a,at-frame315000
372,adora2a,at-frame316000
373,adora2a,at-frame316600
374,adora2a,at-frame317000
375,adora2a,at-frame317600
376,adora2a,at-frame318200
377,adora2a,at-frame319200
378,adora2a,at-frame319800
379,adora2a,at-frame320400
380,adora2a,at-frame321800
381,adora2a,at-frame323600
382,adora2a,at-frame324000
383,adora2a,at-frame324400
384,adora2a,at-frame324800
385,adora2a,at-frame325800
386,adora2a,at-frame326200
387,adora2a,at-frame326400
388,adora2a,at-frame326600
389,adora2a,at-frame327600
390,adora2a,at-frame328200
391,adora2a,at-frame328600
392,adora2a,at-frame328800
393,adora2a,at-frame329200
394,adora2a,at-frame329400
395,adora2a,at-frame330800
396,adora2a,at-frame331000
397,adora2a,at-frame332000
398,adora2a,at-frame332400
399,adora2a,at-frame332600
400,adora2a,at-frame333000
401,adora2a,at-frame333600
402,adora2a,at-frame333800
403,adora2a,at-frame334200
404,adora2a,at-frame334600
405,adora2a,at-frame334800
406,adora2a,at-frame336400
407,adora2a,at-frame337600
408,adora2a,at-frame337800
409,adora2a,at-frame338600
410,adora2a,at-frame339200
411,adora2a,at-frame339400
412,adora2a,at-frame339600
413,adora2a,at-frame339800
414,adora2a,at-frame341000
415,adora2a,at-frame341400
416,adora2a,at-frame342400
417,adora2a,at-frame342600
418,adora2a,at-frame343600
419,adora2a,at-frame344200
420,adora2a,at-frame344400
421,adora2a,at-frame346400
422,adora2a,at-frame346600
423,adora2a,at-frame348400
424,adora2a,at-frame348800
425,adora2a,at-frame349000
426,adora2a,at-frame353000
427,adora2a,at-frame354800
428,adora2a,at-frame355200
429,adora2a,at-frame355600
430,adora2a,at-frame356600
431,adora2a,at-frame356800
432,adora2a,at-frame357600
433,adora2a,at-frame358600
434,adora2a,at-frame359000
435,adora2a,at-frame360600
436,adora2a,at-frame361400
437,adora2a,at-frame361600
438,adora2a,at-frame361800
439,adora2a,at-frame362600
440,adora2a,at-frame365400
441,adora2a,at-frame366000
442,adora2a,at-frame366800
443,adora2a,at-frame367000
444,adora2a,at-frame367200
445,adora2a,at-frame368600
446,adora2a,at-frame369600
447,adora2a,at-frame369800
448,adora2a,at-frame370400
449,adora2a,at-frame371200
450,adora2a,at-frame371400
451,adora2a,at-frame373400
452,adora2a,at-frame375200
453,adora2a,at-frame376400
454,adora2a,at-frame377000
455,adora2a,at-frame377400
456,adora2a,at-frame377800
457,adora2a,at-frame378400
458,adora2a,at-frame381200
459,adora2a,at-frame382400
460,adora2a,at-frame384200
461,adora2a,at-frame384400
462,adora2a,at-frame386600
463,adora2a,at-frame387200
464,adora2a,at-frame387800
465,adora2a,at-frame388000
466,adora2a,at-frame388200
467,adora2a,at-frame388600
468,adora2a,at-frame389000
469,adora2a,at-frame389400
470,adora2a,at-frame389600
471,adora2a,at-frame392600
472,adora2a,at-frame393000
473,adora2a,at-frame393600
474,adora2a,at-frame394000
475,adora2a,at-frame394400
476,adora2a,at-frame395400
477,adora2a,at-frame396400
478,adora2a,at-frame397000
479,adora2a,at-frame397400
480,adora2a,at-frame398400
481,adora2a,at-frame399200
482,adora2a,at-frame399600
483,adora2a,at-frame400600
484,adora2a,at-frame401200
485,adora2a,at-frame403000
486,adora2a,at-frame403400
487,adora2a,at-frame404400
488,adora2a,at-frame405000
489,adora2a,at-frame405400
490,adora2a,at-frame406000
491,adora2a,at-frame407000
492,adora2a,at-frame408400
493,adora2a,at-frame410400
494,adora2a,at-frame410600
495,adora2a,at-frame411000
496,adora2a,at-frame411400
497,adora2a,at-frame413000
498,adora2a,at-frame414600
499,adora2a,at-frame415000
500,adora2a,at-frame416200
501,adora2a,at-frame416400
502,adora2a,at-frame417000
503,adora2a,at-frame417600
504,adora2a,at-frame418800
505,adora2a,at-frame420000
506,adora2a,at-frame420800
507,adora2a,at-frame422200
508,adora2a,at-frame422800
509,adora2a,at-frame423600
510,adora2a,at-frame423800
511,adora2a,at-frame424200
512,adora2a,at-frame424800
513,adora2a,at-frame425200
514,adora2a,at-frame425400
515,adora2a,at-frame425600
516,adora2a,at-frame426200
517,adora2a,at-frame426800
518,adora2a,at-frame427400
519,adora2a,at-frame428600
520,adora2a,at-frame429600
521,adora2a,at-frame430400
522,adora2a,at-frame430600
523,adora2a,at-frame431000
524,adora2a,at-frame432600
525,adora2a,at-frame433000
526,adora2a,at-frame433400
527,adora2a,at-frame433600
528,adora2a,at-frame434400
529,adora2a,at-frame434600
530,adora2a,at-frame435000
531,adora2a,at-frame437000
532,adora2a,at-frame437400
533,adora2a,at-frame438200
534,adora2a,at-frame438800
535,adora2a,at-frame439400
536,adora2a,at-frame441200
537,adora2a,at-frame441400
538,adora2a,at-frame441600
539,adora2a,at-frame441800
540,adora2a,at-frame443400
541,adora2a,at-frame443800
542,adora2a,at-frame445200
543,adora2a,at-frame446000
544,adora2a,at-frame447200
545,adora2a,at-frame447400
546,adora2a,at-frame448400
547,adora2a,at-frame449400
548,adora2a,at-frame449600
549,adora2a,at-frame450200
550,adora2a,at-frame452000
551,adora2a,at-frame452200
552,adora2a,at-frame453000
553,adora2a,at-frame453200
554,adora2a,at-frame453800
555,adora2a,at-frame456200
556,adora2a,at-frame458800
557,adora2a,at-frame460000
558,adora2a,at-frame460400
559,adora2a,at-frame460600
560,adora2a,at-frame461400
561,adora2a,at-frame461600
562,adora2a,at-frame461800
563,adora2a,at-frame463400
564,adora2a,at-frame464000
565,adora2a,at-frame464600
566,adora2a,at-frame464800
567,adora2a,at-frame465000
568,adora2a,at-frame466400
569,adora2a,at-frame466600
570,adora2a,at-frame466800
571,adora2a,at-frame467200
572,adora2a,at-frame468000
573,adora2a,at-frame468600
574,adora2a,at-frame470200
575,adora2a,at-frame471200
576,adora2a,at-frame471600
577,adora2a,at-frame474400
578,adora2a,at-frame475200
579,adora2a,at-frame475400
580,adora2a,at-frame475800
581,adora2a,at-frame476400
582,adora2a,at-frame477400
583,adora2a,at-frame477600
584,adora2a,at-frame479000
585,adora2a,at-frame479600
586,adora2a,at-frame479800
587,adora2a,at-frame480400
588,adora2a,at-frame480800
589,adora2a,at-frame482600
590,adora2a,at-frame482800
591,adora2a,at-frame483800
592,adora2a,at-frame486400
593,adora2a,at-frame486800
594,adora2a,at-frame487400
595,adora2a,at-frame487800
596,adora2a,at-frame488000
597,adora2a,at-frame488200
598,adora2a,at-frame488800
599,adora2a,at-frame489400
600,adora2a,at-frame491200
601,adora2a,at-frame491400
602,adora2a,at-frame493200
603,adora2a,at-frame495800
604,adora2a,at-frame496000
605,adora2a,at-frame496200
606,adora2a,at-frame496800
607,adora2a,at-frame497400
608,adora2a,at-frame497800
609,adora2a,at-frame498200
610,adora2a,at-frame498400
611,adora2a,at-frame499000
612,adora2a,at-frame499400
613,adora2a,at-frame499800
614,adora2a,at-frame500600
615,adora2a,at-frame500800
616,adora2a,at-frame503400
617,adora2a,at-frame505000
618,adora2a,at-frame506200
619,adora2a,at-frame507000
620,adora2a,at-frame507400
621,adora2a,at-frame508200
622,adora2a,at-frame509200
623,adora2a,at-frame510600
624,adora2a,at-frame510800
625,adora2a,at-frame511000
626,adora2a,at-frame511400
627,adora2a,at-frame511800
628,adora2a,at-frame512200
629,adora2a,at-frame513000
630,adora2a,at-frame513400
631,adora2a,at-frame514800
632,adora2a,at-frame515200
633,adora2a,at-frame515400
634,adora2a,at-frame516000
635,adora2a,at-frame516400
636,adora2a,at-frame518000
637,adora2a,at-frame518400
638,adora2a,at-frame520000
639,adora2a,at-frame520600
640,adora2a,at-frame520800
641,adora2a,at-frame521800
642,adora2a,at-frame522600
643,adora2a,at-frame524200
644,adora2a,at-frame525200
645,adora2a,at-frame525600
646,adora2a,at-frame526400
647,adora2a,at-frame526800
648,adora2a,at-frame527000
649,adora2a,at-frame527400
650,adora2a,at-frame527800
651,adora2a,at-frame528000
652,adora2a,at-frame530200
653,adora2a,at-frame530800
654,adora2a,at-frame531000
655,adora2a,at-frame532200
656,adora2a,at-frame532400
657,adora2a,at-frame533000
658,adora2a,at-frame533400
659,adora2a,at-frame533600
660,adora2a,at-frame533800
661,adora2a,at-frame534400
662,adora2a,at-frame535000
663,adora2a,at-frame535600
664,adora2a,at-frame536200
665,adora2a,at-frame537200
666,adora2a,at-frame538400
667,adora2a,at-frame538600
668,adora2a,at-frame539800
669,adora2a,at-frame540000
670,adora2a,at-frame540200
671,adora2a,at-frame542000
672,adora2a,at-frame543400
673,adora2a,at-frame544800
