,receptor,trajectory_index,missing_file
785,oprd1,1138,at-frame227600.pdbqt
786,oprd1,1151,at-frame230200.pdbqt
787,oprd1,1154,at-frame230800.pdbqt
788,oprd1,1155,at-frame231000.pdbqt
789,oprd1,1157,at-frame231400.pdbqt
790,oprd1,1158,at-frame231600.pdbqt
791,oprd1,1159,at-frame231800.pdbqt
792,oprd1,1160,at-frame232000.pdbqt
793,oprd1,1164,at-frame232800.pdbqt
794,oprd1,1165,at-frame233000.pdbqt
795,oprd1,1169,at-frame233800.pdbqt
796,oprd1,1170,at-frame234000.pdbqt
797,oprd1,1174,at-frame234800.pdbqt
798,oprd1,1177,at-frame235400.pdbqt
799,oprd1,1179,at-frame235800.pdbqt
800,oprd1,1181,at-frame236200.pdbqt
801,oprd1,1182,at-frame236400.pdbqt
802,oprd1,1183,at-frame236600.pdbqt
803,oprd1,1196,at-frame239200.pdbqt
804,oprd1,1201,at-frame240200.pdbqt
805,oprd1,1203,at-frame240600.pdbqt
806,oprd1,1204,at-frame240800.pdbqt
807,oprd1,1205,at-frame241000.pdbqt
808,oprd1,1212,at-frame242400.pdbqt
809,oprd1,1215,at-frame243000.pdbqt
810,oprd1,1217,at-frame243400.pdbqt
811,oprd1,1218,at-frame243600.pdbqt
812,oprd1,1221,at-frame244200.pdbqt
813,oprd1,1226,at-frame245200.pdbqt
814,oprd1,1227,at-frame245400.pdbqt
815,oprd1,1228,at-frame245600.pdbqt
816,oprd1,1229,at-frame245800.pdbqt
817,oprd1,1232,at-frame246400.pdbqt
818,oprd1,1233,at-frame246600.pdbqt
819,oprd1,1236,at-frame247200.pdbqt
820,oprd1,1238,at-frame247600.pdbqt
821,oprd1,1241,at-frame248200.pdbqt
822,oprd1,1242,at-frame248400.pdbqt
823,oprd1,1280,at-frame256000.pdbqt
824,oprd1,1308,at-frame261600.pdbqt
825,oprd1,1356,at-frame271200.pdbqt
826,oprd1,1399,at-frame279800.pdbqt
827,oprd1,1663,at-frame332600.pdbqt
828,oprd1,1981,at-frame396200.pdbqt
829,oprd1,2026,at-frame405200.pdbqt
830,oprd1,2199,at-frame439800.pdbqt
831,oprd1,2341,at-frame468200.pdbqt
832,oprd1,2441,at-frame488200.pdbqt
833,oprd1,2634,at-frame526800.pdbqt
834,oprd1,2635,at-frame527000.pdbqt
835,oprd1,2641,at-frame528200.pdbqt
836,oprd1,2731,at-frame546200.pdbqt
837,oprd1,2758,at-frame551600.pdbqt
838,oprd1,2876,at-frame575200.pdbqt
839,oprd1,2951,at-frame590200.pdbqt
840,oprd1,2957,at-frame591400.pdbqt
841,oprd1,2961,at-frame592200.pdbqt
842,oprd1,2962,at-frame592400.pdbqt
843,oprd1,2972,at-frame594400.pdbqt
844,oprd1,2979,at-frame595800.pdbqt
845,oprd1,2988,at-frame597600.pdbqt
846,oprk1,4,at-frame800.pdbqt
847,oprk1,107,at-frame21400.pdbqt
848,oprk1,115,at-frame23000.pdbqt
849,oprk1,128,at-frame25600.pdbqt
850,oprk1,152,at-frame30400.pdbqt
851,oprk1,375,at-frame75000.pdbqt
852,oprk1,463,at-frame92600.pdbqt
853,oprk1,653,at-frame130600.pdbqt
854,oprk1,701,at-frame140200.pdbqt
855,oprk1,702,at-frame140400.pdbqt
856,oprk1,755,at-frame151000.pdbqt
857,oprk1,756,at-frame151200.pdbqt
858,oprk1,954,at-frame190800.pdbqt
859,oprk1,986,at-frame197200.pdbqt
860,oprk1,1191,at-frame238200.pdbqt
861,oprk1,1280,at-frame256000.pdbqt
862,oprk1,1372,at-frame274400.pdbqt
863,oprk1,1588,at-frame317600.pdbqt
864,oprk1,1589,at-frame317800.pdbqt
865,oprk1,1630,at-frame326000.pdbqt
866,oprk1,1700,at-frame340000.pdbqt
867,oprk1,1701,at-frame340200.pdbqt
868,oprk1,1702,at-frame340400.pdbqt
869,oprk1,1703,at-frame340600.pdbqt
870,oprk1,1705,at-frame341000.pdbqt
871,oprk1,1707,at-frame341400.pdbqt
872,oprk1,1708,at-frame341600.pdbqt
873,oprk1,1710,at-frame342000.pdbqt
874,oprk1,1714,at-frame342800.pdbqt
875,oprk1,1731,at-frame346200.pdbqt
876,oprk1,1734,at-frame346800.pdbqt
877,oprk1,1735,at-frame347000.pdbqt
878,oprk1,1737,at-frame347400.pdbqt
879,oprk1,1775,at-frame355000.pdbqt
880,oprk1,1800,at-frame360000.pdbqt
881,oprk1,1834,at-frame366800.pdbqt
882,oprk1,1929,at-frame385800.pdbqt
883,oprk1,1953,at-frame390600.pdbqt
884,oprk1,1981,at-frame396200.pdbqt
885,oprk1,1989,at-frame397800.pdbqt
886,oprk1,2009,at-frame401800.pdbqt
887,oprk1,2012,at-frame402400.pdbqt
888,oprk1,2092,at-frame418400.pdbqt
889,oprk1,2224,at-frame444800.pdbqt
890,oprk1,2269,at-frame453800.pdbqt
891,oprk1,2328,at-frame465600.pdbqt
892,oprk1,2376,at-frame475200.pdbqt
893,oprk1,2391,at-frame478200.pdbqt
894,oprk1,2394,at-frame478800.pdbqt
895,oprk1,2396,at-frame479200.pdbqt
896,oprk1,2397,at-frame479400.pdbqt
897,oprk1,2398,at-frame479600.pdbqt
898,oprk1,2401,at-frame480200.pdbqt
899,oprk1,2580,at-frame516000.pdbqt
900,oprk1,2671,at-frame534200.pdbqt
