,f_name,k,inds,frame_number
31,pairwise distance to 4 points,32,[ 265 2320  865 ...  474 1552 2373],"[52800, 463800, 172800, 89000, 254800, 151200, 2200, 574400, 418800, 214600, 526800, 234800, 371200, 410800, 402200, 13200, 334600, 145800, 114200, 23600, 194600, 35200, 543600, 592000, 349000, 513400, 559400, 252800, 64400, 94600, 310200, 474400]"
32,pairwise distance to 4 points,33,[2635 1620  757 ... 2873  811 2776],"[526800, 323800, 151200, 13200, 513400, 474400, 89000, 254800, 172800, 231600, 592000, 64400, 402200, 114200, 449200, 191200, 200600, 145800, 543600, 309400, 561000, 248600, 418800, 23600, 94600, 371200, 50800, 410800, 214600, 2200, 574400, 162000, 555000]"
33,pairwise distance to 4 points,34,[ 865  757 2601 ...  947 1383  119],"[172800, 151200, 520000, 441000, 248600, 2200, 592000, 64400, 223000, 50800, 402200, 94600, 13200, 266200, 557400, 297600, 574400, 422400, 114200, 513400, 145800, 194600, 231600, 373000, 474400, 543600, 162000, 323800, 463800, 89000, 208400, 189200, 276400, 23600]"
34,pairwise distance to 4 points,35,[ 747 1265 2320 ...  834 2806  605],"[149200, 252800, 463800, 513400, 200600, 2200, 592000, 64400, 89000, 254800, 334600, 162000, 114200, 402200, 543600, 214600, 23600, 474400, 555000, 234800, 50800, 189200, 145800, 410800, 526800, 13200, 370800, 297600, 574400, 418800, 443200, 94600, 166600, 561000, 120800]"
35,pairwise distance to 4 points,36,[2412 1620  119 ...  255 2635  572],"[482200, 323800, 23600, 137600, 266200, 191200, 64400, 98200, 574400, 80400, 231600, 370800, 2200, 543600, 308200, 172800, 248600, 561000, 418800, 402200, 214600, 554000, 592000, 471600, 276400, 513400, 202000, 13200, 463800, 156000, 398200, 90800, 410800, 50800, 526800, 114200]"
36,pairwise distance to 4 points,37,[ 572 2320 2635 ... 2719  535 1332],"[114200, 463800, 526800, 37000, 211200, 410800, 574400, 89000, 6200, 161200, 276400, 474400, 145800, 234800, 297600, 513400, 252800, 50800, 64400, 402200, 418800, 94600, 172800, 373000, 323800, 13200, 554000, 151200, 561000, 592000, 194600, 441000, 23600, 222400, 543600, 106800, 266200]"
37,pairwise distance to 4 points,38,[2320  265 2565 ... 2601 1126 1489],"[463800, 52800, 512800, 2200, 155800, 211200, 89000, 592000, 266200, 189200, 370800, 114200, 353800, 418800, 568800, 234800, 64400, 555000, 13200, 402200, 200600, 137600, 543600, 410800, 248600, 23600, 35200, 276400, 94600, 503800, 584200, 172800, 448800, 338200, 474400, 520000, 225000, 297600]"
38,pairwise distance to 4 points,39,[2373 1620 1332 ... 1113 1435 1955],"[474400, 323800, 266200, 185000, 151200, 23600, 406800, 89000, 543600, 557400, 234800, 52800, 6200, 211200, 574400, 114200, 520000, 252800, 503800, 420800, 463800, 512800, 64400, 349000, 166600, 370800, 592000, 367600, 145800, 156000, 310200, 194600, 94600, 35200, 414200, 13200, 222400, 286800, 390800]"
39,center of mass,1,[2411],[482000]
40,center of mass,2,[1679 2422],"[335600, 484200]"
41,center of mass,3,[2419 1679  607],"[483600, 335600, 121200]"
42,center of mass,4,[ 154  775 1679 2057],"[30600, 154800, 335600, 411200]"
43,center of mass,5,[ 509 2411 1460  154 1007],"[101600, 482000, 291800, 30600, 201200]"
44,center of mass,6,[ 509 1679 1372 2601  154 1007],"[101600, 335600, 274200, 520000, 30600, 201200]"
