,f_name,k,inds,frame_number
30,pairwise distance to 4 points,31,[1818 1848  188 ...  825 2730  774],"[363400, 369400, 37400, 161800, 312400, 222800, 563800, 407800, 296200, 47000, 8600, 116600, 472200, 83000, 174600, 144400, 581800, 509600, 409200, 275400, 102600, 505400, 598800, 477200, 462000, 22400, 210600, 449200, 164800, 545800, 154600]"
31,pairwise distance to 4 points,32,[2311  857 2820 ...  416 2057  223],"[462000, 171200, 563800, 476600, 301600, 8600, 422800, 108800, 251000, 361400, 132600, 217400, 68800, 104400, 161800, 509600, 464000, 416800, 581800, 63400, 390600, 144400, 143200, 369400, 266400, 127000, 547400, 433000, 22400, 83000, 411200, 44400]"
32,pairwise distance to 4 points,33,[2272   44 1851 ...  529  796 1280],"[454200, 8600, 370000, 116600, 165200, 104400, 598600, 211800, 457000, 547400, 381200, 462000, 509600, 505400, 164800, 266400, 204800, 78000, 581800, 563800, 416800, 47000, 144400, 231600, 312400, 22400, 433000, 111000, 465400, 44000, 105600, 159000, 255800]"
33,pairwise distance to 4 points,34,[  44 1365  897 ...  636 1851  328],"[8600, 272800, 179200, 589600, 22400, 214600, 245600, 433000, 132600, 104400, 485600, 105600, 416800, 231600, 339600, 308200, 108800, 563800, 9600, 144400, 449200, 517800, 540800, 171200, 397600, 589400, 390800, 159000, 547400, 50400, 598800, 127000, 370000, 65400]"
34,pairwise distance to 4 points,35,[ 523 2313  636 ... 2948  872 1054],"[104400, 462400, 127000, 174600, 433000, 217400, 6400, 277800, 409200, 462000, 123000, 481600, 108800, 407800, 505400, 18600, 573600, 547400, 471200, 563800, 8600, 305800, 598800, 94600, 449200, 78000, 144400, 22400, 586200, 523400, 54600, 275400, 589400, 174200, 210600]"
35,pairwise distance to 4 points,36,[1639  825 2357 ... 1783 1233  874],"[327600, 164800, 471200, 22400, 586200, 519400, 94600, 127000, 370000, 132600, 390800, 572800, 598800, 330400, 63400, 312400, 154200, 274200, 83000, 210600, 217400, 311400, 481600, 416800, 454800, 563800, 293000, 567000, 35400, 547400, 8600, 144400, 519800, 356400, 246400, 174600]"
36,pairwise distance to 4 points,37,[1879  401 1848 ... 1563 2460 1333],"[375600, 80000, 369400, 272600, 234600, 144400, 174200, 111000, 462000, 167400, 85400, 476600, 167000, 208600, 217600, 524000, 272000, 245600, 127000, 49800, 407800, 161800, 104400, 432600, 164800, 132600, 327600, 385400, 563800, 509600, 174600, 8600, 573600, 464000, 312400, 491800, 266400]"
37,pairwise distance to 4 points,38,[  44 1333 2695 ...  416  723 2869],"[8600, 266400, 538800, 256200, 38000, 127000, 154200, 3000, 179200, 132600, 278800, 416200, 513400, 562000, 47200, 339600, 267600, 361400, 223400, 174600, 49800, 78000, 454200, 210600, 246600, 381200, 567000, 234600, 45400, 289000, 252800, 433000, 476600, 305800, 275400, 83000, 144400, 573600]"
38,pairwise distance to 4 points,39,[  94 1808 2409 ...  658 1549  113],"[18600, 361400, 481600, 274200, 144400, 433000, 409200, 567600, 78000, 127000, 370000, 522600, 334400, 562000, 214400, 462000, 8600, 390800, 339600, 94600, 452400, 583600, 312400, 63400, 298400, 547400, 174600, 456000, 471200, 517800, 6400, 154200, 598800, 223000, 50400, 234600, 131400, 309600, 22400]"
39,center of mass,1,[2015],[402800]
40,center of mass,2,[ 620 1036],"[123800, 207000]"
41,center of mass,3,[2034 1444  473],"[406600, 288600, 94400]"
42,center of mass,4,[ 374 1444 2034 2817],"[74600, 288600, 406600, 563200]"
43,center of mass,5,[2817 1427   52 1774 2282],"[563200, 285200, 10200, 354600, 456200]"
44,center of mass,6,[2795 1774   52 2288 2558 1426],"[558800, 354600, 10200, 457400, 511400, 285000]"
45,center of mass,7,[1328  374 1141  628 2181 2791  758],"[265400, 74600, 228000, 125400, 436000, 558000, 151400]"
46,center of mass,8,[1774  628  374  759 2089 1304 2791 1644],"[354600, 125400, 74600, 151600, 417600, 260600, 558000, 328600]"
47,center of mass,9,[2791 1138 2150 2590 1774  137  364 1360  759],"[558000, 227400, 429800, 517800, 354600, 27200, 72600, 271800, 151600]"
48,center of mass,10,[  20 1078 2089 2590 1774 1668 2791 1182  759  137],"[3800, 215400, 417600, 517800, 354600, 333400, 558000, 236200, 151600, 27200]"
49,center of mass,11,[1668  569 1774 ... 1182 2584   14],"[333400, 113600, 354600, 27200, 151600, 215400, 547200, 429800, 236200, 516600, 2600]"
50,center of mass,12,[  14 1183  759 ... 2737 1587 1887],"[2600, 236400, 151600, 113600, 209000, 181600, 516600, 448000, 27200, 547200, 317200, 377200]"
51,center of mass,13,[2223 2737 1042 ...  903 2584 1348],"[444400, 547200, 208200, 453600, 72800, 155600, 113600, 377200, 299000, 27200, 180400, 516600, 269400]"
52,center of mass,14,[2584 1769  569 ...  365 1864 2348],"[516600, 353600, 113600, 444400, 236400, 180400, 155600, 547200, 27200, 208000, 299000, 72800, 372600, 469400]"
53,center of mass,15,[2223  365 1041 ...  612 2737 1496],"[444400, 72800, 208000, 494000, 568400, 353600, 453600, 155600, 370400, 27200, 269400, 180400, 122200, 547200, 299000]"
54,center of mass,16,[2009 1853  568 ... 1496 2108    3],"[401600, 370400, 113400, 73400, 515000, 180400, 22400, 208000, 494600, 353600, 164400, 236400, 547200, 299000, 421400, 400]"
55,center of mass,17,[ 568 1769 1438 ...  612 1586    3],"[113400, 353600, 287400, 156200, 147200, 547200, 73400, 269400, 421400, 185000, 22400, 494000, 370400, 461000, 122200, 317000, 400]"
56,center of mass,18,[1044   34  568 ...  903  668  786],"[208600, 6600, 113400, 346800, 236400, 494000, 460800, 100400, 354200, 299000, 421400, 122200, 370200, 547200, 22400, 180400, 133400, 157000]"
57,center of mass,19,[ 823    3 1281 ... 1387 2108  742],"[164400, 400, 256000, 354200, 199800, 547200, 122200, 181000, 22400, 460800, 494600, 347000, 317000, 370200, 73400, 113400, 277200, 421400, 148200]"
58,center of mass,20,[1736  470  906 ... 1586  667 1772],"[347000, 93800, 181000, 73400, 541200, 277200, 507400, 421400, 256000, 6600, 114000, 164400, 199800, 494000, 22400, 460800, 370200, 317000, 133200, 354200]"
59,center of mass,21,[2471  961  503 ... 2068 1852  681],"[494000, 192000, 100400, 428800, 256000, 113400, 346800, 131600, 547200, 198000, 160800, 22400, 6600, 122200, 317000, 354200, 460800, 277200, 413400, 370200, 136000]"
60,center of mass,22,[2802  961  308 ...  796  184 2134],"[560200, 192000, 61400, 346800, 147200, 450200, 354200, 317000, 256000, 429400, 541200, 565000, 22400, 53600, 490400, 494000, 370200, 274800, 198000, 159000, 36600, 426600]"
61,center of mass,23,[ 931 2802  667 ... 2826  184  773],"[186000, 560200, 133200, 277200, 61400, 494000, 354200, 317000, 413400, 256000, 541200, 479200, 22400, 174800, 346800, 490400, 370200, 460800, 198000, 428800, 565000, 36600, 154400]"
62,center of mass,24,[ 805 2802 1299 ... 2145 1792 1282],"[160800, 560200, 259600, 150200, 347000, 76000, 226600, 426600, 494000, 120200, 541200, 317000, 22400, 370400, 460800, 136000, 490800, 400, 277600, 189400, 97600, 428800, 358200, 256200]"
63,center of mass,25,[ 773 1121 2621 ... 1002 2954 2134],"[154400, 224000, 524000, 174800, 370400, 98800, 560000, 495800, 236000, 428800, 541200, 317000, 358200, 22400, 61400, 460800, 133200, 189400, 347000, 256000, 479200, 516200, 200200, 590600, 426600]"
64,center of mass,26,[ 667 1586   74 ...  782 2908 2368],"[133200, 317000, 14600, 354200, 120200, 192000, 541200, 243000, 428800, 292400, 136000, 594800, 22400, 114200, 370200, 69000, 513000, 346800, 226600, 271400, 426600, 460800, 105400, 156200, 581400, 473400]"
65,center of mass,27,[2471 1181  268 ... 2453  861  488],"[494000, 236000, 53400, 428800, 93600, 541200, 199400, 358200, 22400, 460800, 114200, 317800, 159000, 347200, 75800, 370200, 256000, 135800, 294000, 334000, 394000, 443000, 278200, 150200, 490400, 172000, 97400]"
66,center of mass,28,[2810 2145 1671 ... 1695 1745 1125],"[561800, 428800, 334000, 9200, 256000, 590600, 359400, 135800, 317000, 118600, 541200, 22400, 460800, 98200, 282800, 507400, 159000, 569200, 370200, 227200, 172000, 472600, 131600, 15800, 426600, 338800, 348800, 224800]"
67,center of mass,29,[ 911  602 1371 ... 2847 2751   40],"[182000, 120200, 274000, 428800, 135800, 22400, 535000, 472600, 507400, 218800, 338800, 271400, 370200, 15800, 530000, 460800, 317000, 359400, 413400, 244600, 590600, 326800, 97600, 131600, 159000, 380400, 569200, 550000, 7800]"
68,center of mass,30,[ 535 1106  680 ... 2381  861  172],"[106800, 221000, 135800, 443000, 10600, 507400, 256000, 541200, 460800, 370200, 317800, 44400, 114200, 25000, 433400, 354200, 334000, 236000, 159000, 494000, 421200, 9200, 131600, 294000, 120400, 348000, 227200, 476000, 172000, 34200]"
69,center of mass,31,[1671  492 2305 ...  861 2145 2364],"[334000, 98200, 460800, 581800, 236000, 443000, 15800, 541200, 293800, 356800, 421200, 159000, 69800, 569200, 22400, 349200, 256000, 135800, 278200, 118400, 339600, 370200, 531800, 594800, 317800, 199400, 131600, 490400, 172000, 428800, 472600]"
70,center of mass,32,[1181   47 2652 ...  172  528  223],"[236000, 9200, 530200, 428800, 133200, 200200, 359400, 25000, 174800, 541200, 295800, 10600, 590600, 345600, 256000, 189400, 460800, 154400, 120400, 421200, 375600, 476000, 310600, 507400, 278200, 443000, 294000, 110200, 380600, 34200, 105400, 44400]"
71,center of mass,33,[1617  603 1798 ... 1729 2381  223],"[323200, 120400, 359400, 461000, 34200, 221600, 535000, 271400, 431800, 490400, 156200, 70800, 375600, 116800, 136000, 294000, 594800, 317800, 550000, 240400, 105400, 192000, 530000, 425200, 25000, 236000, 133200, 62200, 581800, 380600, 345600, 476000, 44400]"
72,center of mass,34,[2908  998  416 ... 1785 1203 2789],"[581400, 199400, 83000, 460800, 370200, 547600, 278200, 428800, 22600, 339600, 172000, 271400, 135800, 521800, 4800, 334000, 317800, 394000, 513000, 472600, 531800, 538800, 526400, 349200, 133200, 236000, 443000, 594800, 159000, 46000, 293800, 356800, 240400, 557600]"
73,center of mass,35,[ 172 1590 2364 ...   47  191 2216],"[34200, 317800, 472600, 169800, 370200, 114200, 447200, 594800, 271400, 135800, 541200, 513000, 178600, 349200, 44400, 221000, 119000, 405600, 338800, 25000, 131600, 333000, 240400, 394000, 10600, 450400, 156600, 359400, 581400, 294000, 227200, 236000, 9200, 38000, 443000]"
74,center of mass,36,[2607 1392 2305 ...  172 1763 2145],"[521200, 278200, 460800, 357600, 25000, 559600, 76400, 236000, 135800, 317800, 590600, 172000, 443000, 375600, 535000, 131600, 472600, 159000, 487000, 7800, 271400, 83000, 240400, 227200, 584600, 529800, 576400, 294000, 550000, 386200, 334000, 421200, 380600, 34200, 352400, 428800]"
75,center of mass,37,[2237 2626 1358 ...  796 2607 1785],"[447200, 525000, 271400, 227200, 135800, 37800, 349200, 125600, 546800, 293800, 9200, 569200, 421200, 334000, 343600, 22600, 370200, 594800, 581400, 131600, 278200, 104800, 172000, 454600, 236000, 443000, 479400, 317800, 539400, 15400, 531800, 240400, 554400, 404000, 159000, 521200, 356800]"
76,center of mass,38,[1001 2635 2253 ... 2698 2614 2237],"[200000, 526800, 450400, 240400, 9200, 443000, 513000, 34200, 306400, 546800, 356800, 172000, 593800, 370200, 529800, 394000, 135800, 271400, 349200, 343600, 25000, 472600, 581400, 131600, 159000, 334000, 44400, 221000, 210600, 10600, 236000, 405600, 309200, 554800, 105400, 539400, 522600, 447200]"
77,center of mass,39,[1971 1137 2793 ... 1785   47   54],"[394000, 227200, 558400, 177200, 370200, 125600, 44400, 272000, 535000, 439000, 131600, 343600, 317800, 25000, 221000, 157600, 191200, 450400, 472600, 573600, 294000, 237200, 135800, 38000, 550000, 34200, 169800, 590400, 485000, 495200, 349200, 428400, 402800, 268600, 232800, 335000, 356800, 9200, 10600]"
78,C-alpha,1,[2015],[402800]
79,C-alpha,2,[ 620 1036],"[123800, 207000]"
80,C-alpha,3,[1447  473 2034],"[289200, 94400, 406600]"
81,C-alpha,4,[2034   22 1385 2817],"[406600, 4200, 276800, 563200]"
82,C-alpha,5,[2282 2817 1427 1774   52],"[456200, 563200, 285200, 354600, 10200]"
83,C-alpha,6,[2445 1774   52 2288 2795 1426],"[488800, 354600, 10200, 457400, 558800, 285000]"
84,C-alpha,7,[1328  374 1141 2791  758 2181  628],"[265400, 74600, 228000, 558000, 151400, 436000, 125400]"
85,C-alpha,8,[ 374 1618  628  759 1774 1360 2791 2150],"[74600, 323400, 125400, 151600, 354600, 271800, 558000, 429800]"
86,C-alpha,9,[2791 1774  364  723 1360 2565 2150 1138  137],"[558000, 354600, 72600, 144400, 271800, 512800, 429800, 227400, 27200]"
87,C-alpha,10,[ 759  569 1304 2150  137 1646 2737 2584 2374 1774],"[151600, 113600, 260600, 429800, 27200, 329000, 547200, 516600, 474600, 354600]"
88,C-alpha,11,[2737 1668  569 ... 2150 1182 2584],"[547200, 333400, 113600, 2600, 354600, 215400, 27200, 151600, 429800, 236200, 516600]"
89,C-alpha,12,[2584 1046  569 ...   14 1183  909],"[516600, 209000, 113600, 547200, 151600, 377200, 317200, 27200, 448000, 2600, 236400, 181600]"
90,C-alpha,13,[2584  903 2002 ...   14 1042 2223],"[516600, 180400, 400200, 269400, 547200, 377200, 164400, 27200, 113600, 312000, 2600, 208200, 444400]"
91,C-alpha,14,[ 569 1348 1041 ...  903 2223  137],"[113600, 269400, 208000, 516600, 155600, 547200, 453600, 299000, 370400, 72800, 353600, 180400, 444400, 27200]"
92,C-alpha,15,[2002 1348  779 ...  903  137 2223],"[400200, 269400, 155600, 208000, 122200, 353600, 113400, 72800, 494000, 547200, 370400, 299000, 180400, 27200, 444400]"
93,C-alpha,16,[2937 2345 1041 ...   34 1853  718],"[587200, 468800, 208000, 22400, 269400, 102400, 547200, 180400, 127200, 299000, 353600, 525800, 421400, 6600, 370400, 143400]"
94,C-alpha,17,[ 637 1586 1712 ...   34 2345 1400],"[127200, 317000, 342200, 525800, 22400, 102400, 197800, 191200, 245400, 587200, 547200, 370200, 421400, 143400, 6600, 468800, 279800]"
95,C-alpha,18,[ 513 1769 2471 ...  737  991  782],"[102400, 353600, 494000, 461000, 372600, 317000, 113400, 256000, 6600, 276600, 22400, 189400, 547200, 421400, 122200, 147200, 198000, 156200]"
96,C-alpha,19,[  34 1348 1646 ... 1586  503 1772],"[6600, 269400, 329000, 143400, 574600, 421400, 116400, 22400, 277600, 541200, 346800, 587800, 464600, 370200, 460800, 174200, 317000, 100400, 354200]"
97,C-alpha,20,[ 308 1281  560 ... 1417  991  269],"[61400, 256000, 111800, 156200, 122200, 421400, 346800, 317000, 494000, 547200, 461000, 22400, 334200, 370200, 354200, 147200, 97600, 283200, 198000, 53600]"
98,C-alpha,21,[ 612 1736 2050 ...  380  681  991],"[122200, 347000, 409800, 317000, 97400, 160800, 572000, 547200, 189400, 494000, 256000, 22400, 370200, 277200, 400, 150200, 354200, 421400, 75800, 136000, 198000]"
99,C-alpha,22,[2420 1736  308 ...  184 2305  991],"[483800, 347000, 61400, 174800, 317000, 541200, 421400, 256000, 333200, 370200, 148000, 494000, 116000, 22400, 274800, 522800, 479200, 136000, 354200, 36600, 460800, 198000]"
100,C-alpha,23,[ 308 1281 2455 ...  510 1852 2305],"[61400, 256000, 490800, 423200, 541200, 199800, 317000, 347000, 118400, 192000, 494000, 479200, 135800, 22400, 277200, 413400, 354200, 560200, 133200, 156200, 101800, 370200, 460800]"
101,C-alpha,24,[ 782  581 1387 ... 2306 2993 2615],"[156200, 116000, 277200, 516200, 413400, 347000, 79800, 22400, 256000, 226600, 541200, 354200, 506200, 133200, 192000, 428800, 317000, 61400, 135800, 370200, 479200, 461000, 598400, 522800]"
102,C-alpha,25,[ 527  990  667 ... 2134  681  224],"[105200, 197800, 133200, 428800, 541200, 256000, 525000, 358200, 34200, 175400, 283200, 494000, 472600, 25000, 317000, 189000, 347000, 116000, 461000, 370200, 483800, 71200, 426600, 136000, 44600]"
103,C-alpha,26,[2364 1417  581 ... 2305   80 1736],"[472600, 283200, 116000, 191600, 443000, 97400, 581400, 22400, 197800, 358200, 317000, 133200, 541200, 154400, 370200, 428800, 117800, 394000, 72400, 256000, 598400, 516200, 174800, 460800, 15800, 347000]"
104,C-alpha,27,[1736   76 2582 ...  488  667 1436],"[347000, 15000, 516200, 317000, 116000, 159000, 460800, 256000, 331000, 581400, 25000, 426600, 473400, 370200, 541200, 525000, 598400, 281400, 34200, 428800, 135800, 358200, 5800, 181000, 97400, 133200, 287000]"
105,C-alpha,28,[ 681 1586  532 ... 2651 2455  997],"[136000, 317000, 106200, 345600, 240400, 541200, 15800, 423400, 494000, 160800, 287000, 359400, 22400, 118400, 375600, 472600, 189400, 426600, 271400, 569200, 282800, 461000, 380600, 9200, 133800, 530000, 490800, 199200]"
106,C-alpha,29,[ 363 1392 2471 ... 1553  172 2364],"[72400, 278200, 494000, 460800, 541200, 354200, 111400, 256000, 25000, 133200, 199600, 370200, 182000, 421200, 97400, 295000, 443000, 119000, 333600, 159000, 348000, 135800, 282800, 428800, 44600, 490800, 310400, 34200, 472600]"
107,C-alpha,30,[ 875   81 1418 ... 1904  488 1729],"[174800, 16000, 283400, 577600, 428800, 133200, 541200, 359400, 317000, 560200, 271400, 34200, 370200, 460800, 513000, 472600, 590600, 221000, 334400, 118600, 421200, 154400, 199600, 443000, 25000, 240400, 72400, 380600, 97400, 345600]"
108,C-alpha,31,[1971 1110  603 ... 2216  791 2651],"[394000, 221800, 120400, 171400, 72400, 356800, 236000, 131600, 550000, 494000, 22400, 317800, 256000, 428800, 135800, 370200, 188600, 349400, 490800, 535000, 116800, 472600, 330600, 461000, 97400, 343600, 78000, 293800, 443000, 158000, 530000]"
109,C-alpha,32,[1282 2869  933 ... 2118 2660   81],"[256200, 573600, 186400, 394000, 72400, 159000, 541200, 349200, 317000, 594800, 133800, 443000, 34200, 125600, 97400, 359400, 25000, 116800, 468800, 370200, 135800, 472600, 277600, 581400, 182000, 388000, 199600, 245600, 485000, 423400, 531800, 16000]"
110,C-alpha,33,[1181  609 1671 ... 2993 1471  861],"[236000, 121600, 334000, 34600, 457200, 114400, 349200, 61400, 541200, 131600, 455200, 495200, 227200, 271400, 479200, 370200, 356800, 317400, 576200, 159000, 221000, 398200, 25000, 391200, 135800, 98200, 240400, 343600, 438200, 125600, 598400, 294000, 172000]"
