,f_name,k,inds,frame_number
142,torsion angles,26,[ 691 1951 1945 ... 1703 2074 2782],"[138000, 390000, 388800, 301200, 118400, 288800, 152800, 370000, 4400, 510800, 167800, 406600, 221800, 243600, 370600, 457600, 332000, 236000, 139800, 96200, 278600, 296000, 269600, 340400, 414600, 556200]"
143,torsion angles,27,[2246  432 1953 ... 1230  700 1854],"[449000, 86200, 390400, 59600, 418600, 99600, 332400, 252800, 60000, 337600, 83200, 420200, 563000, 349000, 296000, 50600, 385200, 340400, 85400, 527600, 269600, 221800, 332000, 38000, 245800, 139800, 370600]"
144,torsion angles,28,[ 165 2749 1954 ...  700 1349 1481],"[32800, 549600, 390600, 354800, 457600, 15400, 463200, 108800, 99600, 208600, 370600, 47000, 488600, 50600, 563000, 152800, 301200, 129000, 286800, 332000, 419200, 436000, 417600, 169200, 502200, 139800, 269600, 296000]"
145,torsion angles,29,[2013  691 2639 ...  850 1703  734],"[402400, 138000, 527600, 279200, 463200, 455600, 332000, 491800, 299800, 57200, 369800, 296000, 139800, 502200, 556200, 256400, 332800, 38000, 286800, 169200, 206200, 386000, 59600, 525400, 4400, 291400, 169800, 340400, 146600]"
146,torsion angles,30,[1938  691 1481 ...  466  588 1181],"[387400, 138000, 296000, 588600, 463200, 401200, 301200, 340400, 207000, 152800, 50600, 407600, 269600, 563000, 284200, 251600, 169200, 370600, 74400, 334200, 38000, 146600, 457600, 332000, 393600, 552000, 47000, 93000, 117400, 236000]"
147,torsion angles,31,[2850 1481  692 ... 2816 1164  482],"[569800, 296000, 138200, 406600, 420200, 38000, 140200, 245800, 350400, 99600, 354800, 96400, 527600, 524000, 361400, 385200, 442200, 555600, 269600, 226600, 25200, 50600, 175200, 300200, 379600, 169200, 130400, 74400, 563000, 232600, 96200]"
148,torsion angles,32,[ 236 1134 1539 ... 2246  646   78],"[47000, 226600, 307600, 236000, 169200, 139800, 495600, 487400, 463200, 426400, 284200, 599200, 169800, 422400, 499000, 406600, 175200, 85400, 510200, 108800, 348400, 326400, 288800, 401600, 50600, 296000, 457600, 332000, 419200, 449000, 129000, 15400]"
149,torsion angles,33,[2102 1673  254 ...  599  165 2908],"[420200, 334400, 50600, 137600, 385200, 169200, 269400, 463200, 208000, 340400, 527600, 138200, 140200, 152800, 555400, 563000, 503000, 399600, 47000, 129000, 585600, 301200, 232600, 75600, 291400, 296000, 401200, 118400, 401600, 524000, 119600, 32800, 581400]"
150,torsion angles,34,[1954  236 1854 ... 2447 2246  254],"[390600, 47000, 370600, 208800, 385200, 118400, 270400, 563000, 284000, 252800, 524000, 340400, 83200, 457600, 337600, 138000, 236000, 527600, 38000, 332000, 96400, 296000, 140000, 50000, 145200, 245800, 291400, 463200, 177400, 99600, 226600, 489200, 449000, 50600]"
151,torsion angles,35,[1661 2102 2097 ... 1745 2761 2516],"[332000, 420200, 419200, 463200, 138200, 49400, 236000, 169200, 361400, 401600, 417600, 47000, 175200, 340400, 470200, 399600, 563000, 495600, 161800, 379400, 307600, 99600, 457600, 50600, 76400, 217200, 139800, 487400, 288800, 59800, 317800, 81800, 348800, 552000, 503000]"
152,torsion angles,36,[2816 2460 1047 ... 2438  765 2648],"[563000, 491800, 209200, 370600, 139800, 119600, 595200, 434200, 457600, 81800, 186600, 416600, 296000, 50600, 118400, 420200, 354800, 374000, 337600, 557600, 409600, 399600, 256400, 189800, 332000, 293400, 232600, 515200, 407200, 392800, 310000, 524000, 140200, 487400, 152800, 529400]"
153,torsion angles,37,[ 847 1786 1422 ...  810  373 1164],"[169200, 357000, 284200, 513200, 47000, 296000, 334400, 138200, 142600, 200000, 401200, 146600, 370600, 520200, 50600, 457600, 535200, 354800, 425800, 269400, 386000, 337600, 419200, 129000, 128800, 152800, 38000, 401600, 510200, 32800, 527600, 503000, 332000, 463200, 161800, 74400, 232600]"
154,torsion angles,38,[2611  587 2102 ...  691 2566 1857],"[522000, 117200, 420200, 473200, 495600, 81600, 367000, 171200, 217400, 164200, 386200, 332000, 174200, 401600, 139800, 270000, 487400, 331200, 286800, 15400, 419200, 568000, 118400, 50600, 207000, 350400, 169200, 354800, 47000, 246800, 337600, 417600, 520200, 332800, 563000, 138000, 513000, 371200]"
155,torsion angles,39,[ 500 1507 1043 ... 2025  248 1164],"[99800, 301200, 208400, 491800, 70200, 182000, 50600, 369800, 296000, 175200, 251600, 487400, 419200, 449000, 169800, 504800, 350400, 169200, 420200, 537000, 243200, 8600, 340400, 434200, 372400, 96400, 503000, 332000, 307600, 443600, 142600, 407200, 38000, 401600, 256400, 81800, 404800, 49400, 232600]"
156,pairwise dist + torsion angles,1,[2706],[541000]
157,pairwise dist + torsion angles,2,[ 182 1969],"[36200, 393600]"
158,pairwise dist + torsion angles,3,[2067  182 1765],"[413200, 36200, 352800]"
159,pairwise dist + torsion angles,4,[2067  309 1765  700],"[413200, 61600, 352800, 139800]"
160,pairwise dist + torsion angles,5,[ 309 1765 2677  700 1927],"[61600, 352800, 535200, 139800, 385200]"
161,pairwise dist + torsion angles,6,[1927  309 2677  700 1765  996],"[385200, 61600, 535200, 139800, 352800, 199000]"
162,pairwise dist + torsion angles,7,[1425  309 1927 1863  700  996 2384],"[284800, 61600, 385200, 372400, 139800, 199000, 476600]"
163,pairwise dist + torsion angles,8,[1425  996 1673 1927 1863  700  309 1931],"[284800, 199000, 334400, 385200, 372400, 139800, 61600, 386000]"
164,pairwise dist + torsion angles,9,[1544  309 1927 1931  996 2933  700 1863 1425],"[308600, 61600, 385200, 386000, 199000, 586400, 139800, 372400, 284800]"
165,pairwise dist + torsion angles,10,[1927  722  217 1863  625  171 2384 1068 2453 1425],"[385200, 144200, 43200, 372400, 124800, 34000, 476600, 213400, 490400, 284800]"
166,pairwise dist + torsion angles,11,[2933  929 1863 ... 1927 1425 1544],"[586400, 185600, 372400, 43200, 147000, 386000, 137600, 169200, 385200, 284800, 308600]"
167,pairwise dist + torsion angles,12,[ 736 1425 1863 ...  700  304 2089],"[147000, 284800, 372400, 386000, 213400, 27200, 334400, 491800, 586400, 139800, 60600, 417600]"
168,pairwise dist + torsion angles,13,[2933  171 2089 ... 2071  217 1863],"[586400, 34000, 417600, 169200, 144200, 334400, 284800, 234200, 386000, 147000, 414000, 43200, 372400]"
169,pairwise dist + torsion angles,14,[1863  722 1172 ... 1931 1544  171],"[372400, 144200, 234200, 169200, 586400, 43200, 124800, 295800, 417600, 414000, 284800, 386000, 308600, 34000]"
170,pairwise dist + torsion angles,15,[ 521 1544 1172 ... 2167  160 1665],"[104000, 308600, 234200, 284800, 501400, 189800, 585800, 414000, 537000, 22800, 43200, 132200, 433200, 31800, 332800]"
171,pairwise dist + torsion angles,16,[2508 2816 1175 ... 2930  722  160],"[501400, 563000, 234800, 27400, 372400, 284800, 103600, 386000, 308600, 169200, 295600, 491800, 38000, 585800, 144200, 31800]"
172,pairwise dist + torsion angles,17,[1416  191 2071 ... 2930 1544  736],"[283000, 38000, 414000, 31800, 234200, 501400, 418600, 433200, 169200, 144200, 535200, 332800, 48600, 354800, 585800, 308600, 147000]"
173,pairwise dist + torsion angles,18,[2987  160 1425 ... 1854  929  138],"[597200, 31800, 284800, 169200, 144200, 343600, 147000, 417600, 234200, 580800, 433200, 38000, 563000, 491800, 295600, 370600, 185600, 27400]"
174,pairwise dist + torsion angles,19,[2677  847 2102 ...  722 2987 2003],"[535200, 169200, 420200, 31800, 295600, 234200, 14800, 343600, 136400, 417600, 580800, 138000, 491800, 27400, 563000, 370600, 144200, 597200, 400400]"
175,pairwise dist + torsion angles,20,[ 662 2816  691 ...   75 2460 1172],"[132200, 563000, 138000, 433200, 585800, 300600, 420200, 136400, 372400, 417600, 169200, 27400, 472200, 189800, 284800, 295800, 31800, 14800, 491800, 234200]"
176,pairwise dist + torsion angles,21,[1775  683 1479 ... 1172 1863  647],"[354800, 136400, 295600, 273400, 400400, 169200, 31800, 25000, 132200, 417600, 243600, 491800, 332000, 597200, 48600, 397600, 343600, 14800, 234200, 372400, 129200]"
177,pairwise dist + torsion angles,22,[ 191 1989  407 ... 1854 2102 2405],"[38000, 397600, 81200, 597200, 144200, 234200, 295600, 491800, 501400, 48600, 332000, 284800, 349200, 147000, 433200, 185600, 169200, 418600, 586400, 370600, 420200, 480800]"
178,pairwise dist + torsion angles,23,[ 888 2460  244 ...   75 1172 2525],"[177400, 491800, 48600, 372400, 283000, 136400, 597200, 354800, 299200, 169200, 106400, 284800, 31800, 129200, 418600, 397600, 580800, 25000, 295600, 433200, 14800, 234200, 504800]"
179,pairwise dist + torsion angles,24,[ 244 2167 2867 ... 2460 2272 1479],"[48600, 433200, 573200, 307600, 14800, 420200, 250200, 136400, 234200, 372400, 31800, 501400, 189800, 418600, 593000, 125600, 330800, 25000, 535200, 169200, 129200, 491800, 454200, 295600]"
180,pairwise dist + torsion angles,25,[ 847 1544  416 ...   75 1932 1219],"[169200, 308600, 83000, 286000, 538200, 132200, 585800, 417600, 505800, 334400, 354800, 189800, 296000, 48600, 372400, 129200, 136400, 234200, 414000, 169800, 480800, 283000, 14800, 386200, 243600]"
181,pairwise dist + torsion angles,26,[ 244 2987 2094 ... 1219 1172 1504],"[48600, 597200, 418600, 169200, 86200, 372400, 513200, 397600, 14800, 286000, 249200, 504800, 136400, 169800, 354800, 1400, 189800, 81200, 332000, 106400, 295600, 501400, 129200, 243600, 234200, 300600]"
182,pairwise dist + torsion angles,27,[ 847 1661 2525 ...  950 1383  160],"[169200, 332000, 504800, 98200, 70200, 48600, 295600, 106400, 433200, 175600, 491800, 397600, 372400, 420200, 586400, 418600, 136400, 597200, 263200, 350200, 49000, 39200, 234200, 165600, 189800, 276400, 31800]"
183,pairwise dist + torsion angles,28,[ 492 1989  683 ... 1479  244  950],"[98200, 397600, 136400, 420200, 491800, 372400, 332000, 14800, 31800, 169200, 418600, 175600, 70200, 106400, 433200, 597200, 480800, 504800, 286000, 234200, 501400, 60600, 276400, 354800, 308600, 295600, 48600, 189800]"
184,pairwise dist + torsion angles,29,[ 847 1732 2094 ... 1932  160  950],"[169200, 346200, 418600, 106400, 234800, 491800, 350200, 136400, 129200, 169800, 14800, 286000, 593000, 580800, 295600, 25000, 301200, 504800, 535200, 547400, 48600, 242600, 370600, 334400, 420200, 400400, 386200, 31800, 189800]"
185,pairwise dist + torsion angles,30,[ 160 2530 1043 ...  444  722 1661],"[31800, 505800, 208400, 463400, 136400, 586400, 346200, 169200, 418600, 370600, 286000, 1200, 295600, 569800, 185200, 14800, 397600, 504800, 234200, 513200, 386200, 597200, 129200, 243600, 177800, 114400, 501400, 88600, 144200, 332000]"
186,pairwise dist + torsion angles,31,[2738   75 1383 ... 2602  133 1989],"[547400, 14800, 276400, 370600, 420200, 234200, 129200, 355800, 136400, 247800, 172000, 284000, 189800, 597200, 354800, 346200, 433200, 300600, 332000, 48600, 418600, 484600, 81200, 70200, 295800, 106400, 169200, 263200, 520200, 26400, 397600]"
187,pairwise dist + torsion angles,32,[2987  160 1219 ... 1172  950  713],"[597200, 31800, 243600, 168800, 547400, 350200, 417600, 25000, 147000, 204600, 386200, 36200, 332000, 125600, 513200, 39200, 397600, 480800, 14600, 48600, 286000, 300600, 370600, 320800, 420200, 400400, 504800, 169800, 586400, 234200, 189800, 142400]"
188,pairwise dist + torsion angles,33,[2272  304 1383 ... 1612  171 2405],"[454200, 60600, 276400, 386200, 370600, 175600, 593000, 307600, 125600, 189800, 100400, 22800, 504800, 234200, 525600, 481600, 512800, 31800, 136400, 569800, 397600, 350200, 549000, 501400, 418600, 144200, 286000, 420200, 49000, 330800, 322200, 34000, 480800]"
189,pairwise dist + torsion angles,34,[1219  160 1932 ...  683 2508 2094],"[243600, 31800, 386200, 334400, 247600, 346200, 98200, 397600, 194000, 520200, 337400, 106400, 547400, 569800, 234200, 169800, 295600, 213400, 49000, 281200, 504800, 62400, 354800, 370600, 25000, 263200, 39200, 48600, 332000, 300600, 290200, 136400, 501400, 418600]"
190,pairwise dist + torsion angles,35,[1605  847 2525 ... 2657 1383 2602],"[320800, 169200, 504800, 370600, 96400, 397600, 281200, 420200, 332000, 454200, 48600, 31800, 586400, 349200, 60600, 268400, 433200, 136400, 125600, 169800, 573200, 301200, 189800, 234200, 1200, 294400, 129200, 14800, 402400, 417600, 346200, 547400, 531200, 276400, 520200]"
191,pairwise dist + torsion angles,36,[1172 1854  191 ... 2318 1775   53],"[234200, 370600, 38000, 129200, 272000, 504800, 332000, 301200, 213400, 185200, 1400, 420200, 490400, 346200, 454200, 397600, 208400, 295600, 290200, 550000, 50600, 531200, 106400, 169800, 418600, 136400, 243600, 501400, 513200, 569800, 386200, 81200, 494800, 463400, 354800, 10400]"
192,pairwise dist + torsion angles,37,[ 160 2850 2508 ... 2272  246 1752],"[31800, 569800, 501400, 286000, 189800, 471800, 106400, 332000, 136400, 468400, 525600, 129200, 278600, 307600, 418600, 386200, 234200, 70200, 60600, 593000, 282600, 358400, 29200, 504800, 397600, 547400, 177800, 491800, 290200, 372400, 284000, 322200, 48600, 169200, 454200, 49000, 350200]"
193,pairwise dist + torsion angles,38,[1775  416 1372 ...  683 1612 1989],"[354800, 83000, 274200, 247600, 492000, 189800, 346200, 106400, 480800, 511800, 513400, 48600, 454200, 1200, 471800, 169800, 355800, 261800, 370600, 98200, 169200, 418600, 501400, 130000, 60600, 234800, 547400, 332000, 176000, 386200, 49000, 249400, 278600, 286000, 307600, 136400, 322200, 397600]"
194,pairwise dist + torsion angles,39,[1854 1068 2692 ... 1612 1932  850],"[370600, 213400, 538200, 106400, 349200, 480800, 301200, 290200, 32800, 520200, 417600, 169200, 18000, 36800, 98200, 288600, 535200, 395800, 81200, 351600, 208400, 70200, 275200, 160000, 454200, 234200, 49000, 136400, 483600, 286000, 330800, 593000, 490400, 586200, 463400, 281200, 322200, 386200, 169800]"
