,f_name,k,inds,frame_number
32,pairwise dist,33,[ 290 1490 2566 ...  697 1277 1383],"[57800, 297800, 513000, 163600, 113400, 13200, 590600, 228000, 401800, 64000, 485200, 453800, 42000, 545400, 557400, 176200, 415800, 215200, 310600, 187400, 425000, 389000, 360400, 196800, 319600, 346000, 234200, 354600, 507600, 31400, 139200, 255200, 276400]"
33,pairwise dist,34,[ 697  568 1599 ... 1383 1028 1810],"[139200, 113400, 319600, 507600, 215200, 401800, 592000, 42000, 163800, 454200, 545400, 400400, 120000, 425000, 253400, 557400, 197200, 297800, 187400, 415800, 399200, 571600, 57800, 354600, 34400, 465600, 234200, 490800, 65800, 31000, 118400, 276400, 205400, 361800]"
34,pairwise dist,35,[1954 1689  638 ...  173 2126  211],"[390600, 337600, 127400, 507600, 210400, 585000, 196800, 82200, 529200, 290200, 415800, 43000, 545400, 310600, 139200, 228000, 401800, 453800, 125600, 297800, 176200, 557400, 574200, 569400, 400400, 354800, 163600, 187400, 118400, 236000, 255200, 360400, 34400, 425000, 42000]"
35,pairwise dist,36,[2728 2010  138 ... 1812  707 1383],"[545400, 401800, 27400, 295600, 215200, 507600, 565400, 110200, 130800, 176200, 457400, 326600, 483400, 400400, 196800, 72800, 459200, 104000, 425000, 187400, 490800, 322600, 319600, 567800, 253400, 390600, 557400, 34400, 581800, 163600, 234200, 355600, 65800, 362200, 141200, 276400]"
36,pairwise dist,37,[2788 1490 2647 ... 2539  165  519],"[557400, 297800, 529200, 57800, 335000, 110800, 163800, 139200, 592000, 253400, 233200, 34400, 453800, 540000, 401800, 411400, 425000, 390600, 205400, 426400, 537000, 21600, 337600, 187400, 215200, 23200, 197200, 571600, 317400, 286400, 153400, 361800, 255200, 64400, 507600, 32800, 103600]"
37,pairwise dist,38,[ 582 1774 1490 ...  639  173 1653],"[116200, 354600, 297800, 507600, 571600, 187400, 255200, 228600, 143800, 163800, 524000, 465600, 485200, 547000, 363400, 234200, 3600, 557400, 154000, 76800, 206000, 545400, 390600, 415800, 144600, 21600, 205400, 454200, 411400, 435200, 592000, 274000, 49000, 72800, 197200, 127600, 34400, 330400]"
38,pairwise dist,39,[2272  510 1277 ... 1554  614 1599],"[454200, 101800, 255200, 557400, 81600, 228000, 163800, 435200, 360400, 144600, 390600, 276400, 545400, 581800, 297800, 507600, 187400, 234200, 24600, 597000, 346000, 205400, 400400, 80200, 506400, 565400, 21600, 130800, 326600, 215200, 401800, 197200, 465600, 34400, 513000, 419400, 310600, 122600, 319600]"
39,center of mass,1,[1679],[335600]
40,center of mass,2,[ 259 2105],"[51600, 420800]"
41,center of mass,3,[2389 1241  613],"[477600, 248000, 122400]"
42,center of mass,4,[ 278 1668 2052  937],"[55400, 333400, 410200, 187200]"
