,f_name,k,inds,frame_number
178,pairwise dist + torsion angles,23,[1154 2640 1623 ...  721 2912 2482],"[230600, 527800, 324400, 52800, 270400, 500000, 465000, 593800, 31000, 141600, 527400, 536000, 387400, 202600, 217600, 157000, 172800, 84200, 481200, 456200, 144000, 582200, 496200]"
179,pairwise dist + torsion angles,24,[1169 2282  156 ... 2681  786 2219],"[233600, 456200, 31000, 527400, 172800, 481200, 496200, 582200, 216000, 270400, 84200, 500000, 520000, 204400, 319400, 593800, 333200, 79200, 144000, 219200, 456400, 536000, 157000, 443600]"
180,pairwise dist + torsion angles,25,[2601 2283  865 ... 1606 1515  265],"[520000, 456400, 172800, 496200, 362000, 217600, 487600, 593800, 556200, 544000, 456200, 230600, 157000, 84200, 144000, 270400, 388200, 31000, 202600, 276200, 582200, 141600, 321000, 302800, 52800]"
181,pairwise dist + torsion angles,26,[2407  230 1276 ...  721  422  786],"[481200, 45800, 255000, 593200, 52800, 456200, 527400, 598400, 217600, 230600, 500000, 465000, 386600, 544000, 496200, 598000, 202600, 270400, 14000, 527800, 324400, 141600, 172800, 144000, 84200, 157000]"
182,pairwise dist + torsion angles,27,[2501  865 2407 ... 2721 1023 2970],"[500000, 172800, 481200, 496200, 387400, 582200, 144000, 45800, 518000, 458200, 14000, 219200, 456200, 216000, 157000, 230600, 520000, 372000, 270400, 141600, 527400, 52800, 65200, 321000, 544000, 204400, 593800]"
183,pairwise dist + torsion angles,28,[   0 1276 2407 ... 2326 1081  865],"[-200, 255000, 481200, 520000, 45800, 598000, 270400, 204400, 324400, 141600, 500000, 406600, 144000, 544000, 219200, 456200, 52800, 537200, 31000, 157000, 598400, 496200, 399600, 230600, 527400, 465000, 216000, 172800]"
184,pairwise dist + torsion angles,29,[1014 2759  265 ... 2687 2282 2640],"[202600, 551600, 52800, 339000, 141600, 407600, 580000, 94600, 357600, 465000, 500000, 518000, 157000, 14000, 443600, 593800, 230600, 270400, 571600, 496200, 216000, 527400, 219200, 125200, 144000, 317400, 537200, 456200, 527800]"
185,pairwise dist + torsion angles,30,[ 577 1701 2640 ... 1023 2282 2970],"[115200, 340000, 527800, 496200, 219200, 31000, 158200, 582200, 544000, 465000, 500000, 452000, 270400, 456400, 144000, 527400, 52800, 230600, 278800, 178600, 216000, 141600, 481200, 560800, 281600, 34400, 387400, 204400, 456200, 593800]"
186,pairwise dist + torsion angles,31,[ 786 2482 2407 ... 1277 2039  130],"[157000, 496200, 481200, 230600, 520000, 456200, 141600, 144000, 406600, 544000, 582200, 52800, 443600, 276200, 500000, 31000, 216000, -200, 521200, 372000, 219200, 566800, 465000, 527400, 598400, 172800, 270400, 204400, 255200, 407600, 25800]"
187,pairwise dist + torsion angles,32,[2501    0 2407 ... 1696 2514 1087],"[500000, -200, 481200, 551600, 527400, 230400, 520000, 593800, 52200, 126200, 456200, 541600, 471600, 571600, 204400, 496200, 157000, 32000, 321000, 270400, 286800, 141600, 230600, 580000, 357600, 172800, 387400, 52800, 144000, 339000, 502600, 217200]"
188,pairwise dist + torsion angles,33,[ 709 2292 2407 ... 1606  161  721],"[141600, 458200, 481200, 52800, 527400, 496200, 456200, 172800, 537200, 219200, 582200, 500000, 566800, 45800, 357600, 527800, 407600, 230600, 204400, -200, 324400, 255200, 541400, 598400, 157000, 270400, 126200, 452000, 420200, 216000, 321000, 32000, 144000]"
189,pairwise dist + torsion angles,34,[1671  709 1353 ... 2093  865 2514],"[334000, 141600, 270400, 500000, 357800, 527800, 230400, 52800, 26200, 496200, 578600, 406200, 157000, 580000, 530800, 324400, 582200, 545800, 230600, 32200, 217200, 144000, 14000, 481200, 456200, 576000, 541600, 471600, 527400, 402600, 204400, 418400, 172800, 502600]"
190,pairwise dist + torsion angles,35,[1362  162 1811 ...  913  230 1696],"[272200, 32200, 362000, 217600, 527800, 598400, 500000, 406600, 141600, 566800, 496200, 334000, 456200, 94800, 270400, 372000, 402600, 52800, 321000, 582200, 31000, 471600, 541400, 537200, 527400, 230600, 502600, 157000, 144000, 202600, 339800, 286800, 182400, 45800, 339000]"
191,pairwise dist + torsion angles,36,[ 632 2282 1395 ... 1999  321 1606],"[126200, 456200, 278800, 216000, 527800, 471600, 571600, 362000, 537200, 32200, 456400, 580000, 230600, 144000, 527400, 500000, 141600, 496200, 157000, 544000, 45800, 593800, 219200, 184000, 334000, 302800, 96000, 52800, 270400, 286800, 204400, 560800, 158200, 399600, 64000, 321000]"
192,pairwise dist + torsion angles,37,[2501  162 1606 ... 1153 2816   24],"[500000, 32200, 321000, 270400, 594400, 217200, 456200, 128400, 386600, 157000, 402400, 527400, 362000, 144000, 302800, 541600, 10600, 172800, 471600, 414800, 255200, 34400, 527800, 598000, 204400, 544000, 52800, 372000, 420200, 593800, 230600, 32000, 496200, 158200, 230400, 563000, 4600]"
193,pairwise dist + torsion angles,38,[1081 2655 2282 ...  112  265 2805],"[216000, 530800, 456200, 535400, 137000, 598000, 34400, 389200, 481200, 219200, 286800, 496200, 357600, 186400, 178600, 157000, 334000, 387400, 527800, 141600, 64000, 204400, 593200, 500000, 32200, 278800, 230600, 158200, 471600, 270400, 339000, 388200, 541600, 594400, 357800, 22200, 52800, 560800]"
194,pairwise dist + torsion angles,39,[2282  786 2631 ...  265 1311   54],"[456200, 157000, 526000, 541400, 270400, 566800, 230400, 134400, 541600, 302800, 32200, 598400, 172800, 516000, 334000, 321000, 414800, 144000, 32000, 230600, 582200, 90800, 520000, 272200, 456400, 471600, 407600, 418400, 385200, 286800, 204400, 26200, 217200, 35000, 496200, 362000, 52800, 262000, 10600]"
