,exp_id,frame_id
0,0,114
1,0,809
2,0,1375
3,0,892
4,0,916
5,0,1695
6,0,594
7,0,1214
8,0,2132
9,0,642
10,0,1915
11,0,894
12,0,1754
13,0,1304
14,1,348
15,1,1229
16,2,113
17,2,2181
18,2,1414
19,2,916
20,2,348
21,2,2793
22,3,1229
23,3,154
24,4,876
25,4,1417
26,4,2970
27,4,1842
28,4,2424
29,4,2110
30,4,36
31,4,2807
32,4,1610
33,4,2299
34,4,1081
35,5,858
36,5,1590
37,5,1107
38,6,2381
39,6,2424
40,6,2970
41,6,2498
42,7,858
43,7,1590
44,7,1107
45,8,1444
46,9,1419
47,9,858
48,11,1419
49,11,858
