traj_ind,file_name,file_index
168,at-frame34600_noH.pdb,34600
169,at-frame34800_noH.pdb,34800
170,at-frame35000_noH.pdb,35000
171,at-frame35200_noH.pdb,35200
172,at-frame35400_noH.pdb,35400
173,at-frame35800_noH.pdb,35800
174,at-frame36000_noH.pdb,36000
175,at-frame36200_noH.pdb,36200
176,at-frame36600_noH.pdb,36600
177,at-frame36800_noH.pdb,36800
178,at-frame37000_noH.pdb,37000
179,at-frame37200_noH.pdb,37200
180,at-frame37400_noH.pdb,37400
181,at-frame37600_noH.pdb,37600
182,at-frame37800_noH.pdb,37800
183,at-frame38000_noH.pdb,38000
184,at-frame38200_noH.pdb,38200
185,at-frame38400_noH.pdb,38400
186,at-frame38600_noH.pdb,38600
187,at-frame38800_noH.pdb,38800
188,at-frame39000_noH.pdb,39000
189,at-frame39400_noH.pdb,39400
190,at-frame39600_noH.pdb,39600
191,at-frame39800_noH.pdb,39800
192,at-frame40000_noH.pdb,40000
193,at-frame40200_noH.pdb,40200
194,at-frame40400_noH.pdb,40400
195,at-frame40600_noH.pdb,40600
196,at-frame40800_noH.pdb,40800
197,at-frame41000_noH.pdb,41000
198,at-frame41200_noH.pdb,41200
199,at-frame41400_noH.pdb,41400
200,at-frame41600_noH.pdb,41600
201,at-frame41800_noH.pdb,41800
202,at-frame42000_noH.pdb,42000
203,at-frame42200_noH.pdb,42200
204,at-frame42400_noH.pdb,42400
205,at-frame42600_noH.pdb,42600
206,at-frame42800_noH.pdb,42800
207,at-frame43000_noH.pdb,43000
208,at-frame43200_noH.pdb,43200
209,at-frame43400_noH.pdb,43400
210,at-frame43600_noH.pdb,43600
211,at-frame43800_noH.pdb,43800
212,at-frame44000_noH.pdb,44000
213,at-frame44200_noH.pdb,44200
214,at-frame44400_noH.pdb,44400
215,at-frame44600_noH.pdb,44600
216,at-frame44800_noH.pdb,44800
217,at-frame45000_noH.pdb,45000
218,at-frame45200_noH.pdb,45200
219,at-frame45400_noH.pdb,45400
220,at-frame45600_noH.pdb,45600
221,at-frame45800_noH.pdb,45800
222,at-frame46000_noH.pdb,46000
223,at-frame46200_noH.pdb,46200
224,at-frame46400_noH.pdb,46400
225,at-frame46600_noH.pdb,46600
226,at-frame46800_noH.pdb,46800
227,at-frame47000_noH.pdb,47000
228,at-frame47200_noH.pdb,47200
229,at-frame47400_noH.pdb,47400
230,at-frame47600_noH.pdb,47600
231,at-frame47800_noH.pdb,47800
232,at-frame48000_noH.pdb,48000
233,at-frame48200_noH.pdb,48200
234,at-frame48400_noH.pdb,48400
235,at-frame48600_noH.pdb,48600
236,at-frame48800_noH.pdb,48800
237,at-frame49000_noH.pdb,49000
238,at-frame49200_noH.pdb,49200
239,at-frame49400_noH.pdb,49400
240,at-frame49600_noH.pdb,49600
241,at-frame49800_noH.pdb,49800
242,at-frame50000_noH.pdb,50000
243,at-frame50200_noH.pdb,50200
244,at-frame50400_noH.pdb,50400
245,at-frame50600_noH.pdb,50600
246,at-frame50800_noH.pdb,50800
247,at-frame51000_noH.pdb,51000
248,at-frame51200_noH.pdb,51200
249,at-frame51400_noH.pdb,51400
250,at-frame51600_noH.pdb,51600
251,at-frame51800_noH.pdb,51800
252,at-frame52000_noH.pdb,52000
253,at-frame52200_noH.pdb,52200
254,at-frame52400_noH.pdb,52400
255,at-frame52600_noH.pdb,52600
256,at-frame52800_noH.pdb,52800
257,at-frame53000_noH.pdb,53000
258,at-frame53200_noH.pdb,53200
259,at-frame53400_noH.pdb,53400
260,at-frame53600_noH.pdb,53600
261,at-frame53800_noH.pdb,53800
262,at-frame54000_noH.pdb,54000
263,at-frame54200_noH.pdb,54200
264,at-frame54400_noH.pdb,54400
265,at-frame54600_noH.pdb,54600
266,at-frame54800_noH.pdb,54800
267,at-frame55000_noH.pdb,55000
268,at-frame55200_noH.pdb,55200
269,at-frame55400_noH.pdb,55400
270,at-frame55600_noH.pdb,55600
271,at-frame55800_noH.pdb,55800
272,at-frame56000_noH.pdb,56000
273,at-frame56200_noH.pdb,56200
274,at-frame56400_noH.pdb,56400
275,at-frame56600_noH.pdb,56600
276,at-frame56800_noH.pdb,56800
277,at-frame57200_noH.pdb,57200
278,at-frame57400_noH.pdb,57400
279,at-frame57600_noH.pdb,57600
280,at-frame57800_noH.pdb,57800
281,at-frame58000_noH.pdb,58000
282,at-frame58200_noH.pdb,58200
283,at-frame58400_noH.pdb,58400
284,at-frame58600_noH.pdb,58600
285,at-frame58800_noH.pdb,58800
286,at-frame59000_noH.pdb,59000
287,at-frame59200_noH.pdb,59200
288,at-frame59400_noH.pdb,59400
289,at-frame59600_noH.pdb,59600
290,at-frame59800_noH.pdb,59800
291,at-frame60000_noH.pdb,60000
292,at-frame60200_noH.pdb,60200
293,at-frame60400_noH.pdb,60400
294,at-frame60600_noH.pdb,60600
295,at-frame60800_noH.pdb,60800
296,at-frame61000_noH.pdb,61000
297,at-frame61200_noH.pdb,61200
298,at-frame61400_noH.pdb,61400
299,at-frame61600_noH.pdb,61600
300,at-frame62000_noH.pdb,62000
301,at-frame62200_noH.pdb,62200
302,at-frame62400_noH.pdb,62400
303,at-frame62600_noH.pdb,62600
304,at-frame62800_noH.pdb,62800
305,at-frame63000_noH.pdb,63000
306,at-frame63200_noH.pdb,63200
307,at-frame63400_noH.pdb,63400
308,at-frame63600_noH.pdb,63600
309,at-frame63800_noH.pdb,63800
310,at-frame64000_noH.pdb,64000
311,at-frame64200_noH.pdb,64200
312,at-frame64400_noH.pdb,64400
313,at-frame64600_noH.pdb,64600
314,at-frame64800_noH.pdb,64800
315,at-frame65000_noH.pdb,65000
316,at-frame65200_noH.pdb,65200
317,at-frame65400_noH.pdb,65400
318,at-frame65600_noH.pdb,65600
319,at-frame65800_noH.pdb,65800
320,at-frame66000_noH.pdb,66000
321,at-frame66200_noH.pdb,66200
322,at-frame66400_noH.pdb,66400
323,at-frame66600_noH.pdb,66600
324,at-frame66800_noH.pdb,66800
325,at-frame67000_noH.pdb,67000
326,at-frame67200_noH.pdb,67200
327,at-frame67400_noH.pdb,67400
328,at-frame67600_noH.pdb,67600
329,at-frame67800_noH.pdb,67800
330,at-frame68200_noH.pdb,68200
331,at-frame68400_noH.pdb,68400
332,at-frame68600_noH.pdb,68600
333,at-frame68800_noH.pdb,68800
334,at-frame69000_noH.pdb,69000
335,at-frame69200_noH.pdb,69200
336,at-frame69400_noH.pdb,69400
337,at-frame69600_noH.pdb,69600
338,at-frame69800_noH.pdb,69800
339,at-frame70200_noH.pdb,70200
340,at-frame70400_noH.pdb,70400
341,at-frame70600_noH.pdb,70600
342,at-frame70800_noH.pdb,70800
343,at-frame71000_noH.pdb,71000
344,at-frame71200_noH.pdb,71200
345,at-frame71400_noH.pdb,71400
346,at-frame71600_noH.pdb,71600
347,at-frame71800_noH.pdb,71800
348,at-frame72200_noH.pdb,72200
349,at-frame72400_noH.pdb,72400
350,at-frame72600_noH.pdb,72600
351,at-frame72800_noH.pdb,72800
352,at-frame73000_noH.pdb,73000
353,at-frame73200_noH.pdb,73200
354,at-frame73400_noH.pdb,73400
355,at-frame73600_noH.pdb,73600
356,at-frame73800_noH.pdb,73800
357,at-frame74000_noH.pdb,74000
358,at-frame74200_noH.pdb,74200
359,at-frame74400_noH.pdb,74400
360,at-frame74600_noH.pdb,74600
361,at-frame74800_noH.pdb,74800
362,at-frame75000_noH.pdb,75000
363,at-frame75200_noH.pdb,75200
364,at-frame75400_noH.pdb,75400
365,at-frame75600_noH.pdb,75600
366,at-frame75800_noH.pdb,75800
367,at-frame76000_noH.pdb,76000
368,at-frame76200_noH.pdb,76200
369,at-frame76400_noH.pdb,76400
